nick,rating,rd,vol
avinster,1534.83,259.26,0.06
Damian,1500.0,350.0,0.06
Dziku,1500.0,350.0,0.06
Etoo,1500.0,350.0,0.06
jakób,1500.0,350.0,0.06
Janek,1500.0,350.0,0.06
kellutek,1500.0,350.0,0.06
Krzysztof_Szpila,1397.27,221.41,0.06
LopSucks,1500.0,350.0,0.06
Lormd,1500.0,350.0,0.06
Maciuś,1500.0,350.0,0.06
Maggnan,1500.0,350.0,0.06
Malkie,1500.0,350.0,0.06
marines,1328.78,221.41,0.06
Marnypopis,1500.0,350.0,0.06
Michal_Bl,1465.76,221.41,0.059999999934953
Patryk,1604.5,259.26,0.06
PL_Fox6,1465.76,221.41,0.059999999934953
Popkhorne,1482.58,259.26,0.06
Quamar,1500.0,350.0,0.06
Renegade_Jedi,1500.0,350.0,0.06
sebastian_krok,1656.18,192.05,0.059999999917344
seig,1534.83,259.26,0.06
Shomrey,1500.0,350.0,0.06
Silvaron,1674.17,259.26,0.06
SirMario0,1517.12,221.41,0.059999999934162
soskas_,1500.0,350.0,0.06
Strigoi,1623.33,164.01,0.059999999887255
Szymon,1328.78,221.41,0.06
Świnia,1397.27,221.41,0.06
Velthael (Gunnar),1500.0,350.0,0.06
#history
2025-04-17 21:15:41,Patryk,Świnia,16,4,80,45
2025-04-17 21:17:33,Strigoi,marines,20,0,90,27
2025-04-17 21:18:43,sebastian_krok,Krzysztof_Szpila,16,4,82,50
2025-04-17 21:19:55,avinster,Michal_Bl,12,8,81,66
2025-04-17 21:21:13,Popkhorne,SirMario0,9,11,53,63
2025-04-17 21:23:21,Silvaron,Szymon,20,0,90,20
2025-04-17 21:23:58,sebastian_krok,Strigoi,14,6,92,67
2025-04-17 21:24:39,seig,PL_Fox6,12,8,51,38
