nick,rating,rd,vol,last_game
avinster,1534.81,180.38,0.059999999896378,7
Silvaron,1803.32,185.1,0.06,5
Dziku,1500.0,560.0,0.06,17
Etoo,1500.0,560.0,0.06,17
jakób,1500.0,560.0,0.06,17
Janek,1500.0,560.0,0.06,17
kellutek,1500.0,560.0,0.06,17
Krzysztof_Szpila,1397.27,251.41,0.06,10
LopSucks,1272.12,154.75,0.059999999946711,0
Lormd,1479.21,268.86,0.059999999955348,7
Maciuś,1500.0,560.0,0.06,17
Maggnan,1521.15,314.82,0.059999999966456,7
Malkie,1690.76,209.52,0.06,0
marines,1328.78,296.41,0.06,14
Marnypopis,1500.0,560.0,0.06,17
Michal_Bl,1543.09,159.44,0.059999999901019,7
Patryk,1570.04,222.03,0.05999999995,7
PL_Fox6,1462.82,240.39,0.06,7
Popkhorne,1482.09,266.67,0.06,7
Quamar,1500.0,560.0,0.06,17
Renegade_Jedi,1552.81,207.36,0.059999999938,7
sebastian_krok,1656.18,192.05,0.06,7
seig,1537.82,281.49,0.06,7
Shomrey,1633.01,215.66,0.06,0
Damian,1299.29,239.73,0.06,5
SirMario0,1517.63,149.81,0.059999999852346,7
soskas_,1500.0,560.0,0.06,17
Strigoi,1623.33,164.01,0.06,7
Szymon,1251.84,162.05,0.059999999905384,0
Świnia,1397.27,296.41,0.06,14
Velthael (Gunnar),1500.0,560.0,0.06,17
#history
2025-04-03 07:54:25,Patryk,Świnia,16,4,80,45
2025-04-03 20:06:29,Strigoi,marines,20,0,90,27
2025-04-06 20:16:14,sebastian_krok,Krzysztof_Szpila,16,4,82,50
2025-04-07 20:20:03,avinster,Michal_Bl,12,8,81,66
2025-04-09 20:39:16,Silvaron,Szymon,20,0,90,20
2025-04-09 20:41:25,Popkhorne,SirMario0,9,11,53,63
2025-04-09 20:43:00,sebastian_krok,Strigoi,14,6,92,67
2025-04-09 20:51:27,seig,PL_Fox6,12,8,51,38
2025-04-09 21:25:06,Patryk,Renegade_Jedi,7,13,57,77
2025-04-09 21:45:41,LopSucks,Michal_Bl,3,17,54,90
2025-04-10 19:23:11,avinster,SirMario0,10,10,61,61
2025-04-10 20:00:36,Maggnan,Lormd,11,9,58,49
2025-04-11 21:33:00,Damian,Silvaron,0,20,55,91
2025-04-17 20:08:24,Shomrey,Szymon,17,3,91,55
2025-04-17 20:11:19,Malkie,LopSucks,20,0,69,2
