nick,rating,rd,vol
avinster,1500.0,350.0,0.06
Damian,1500.0,350.0,0.06
Dziku,1500.0,350.0,0.06
Etoo,1500.0,350.0,0.06
jakób,1500.0,350.0,0.06
Janek,1500.0,350.0,0.06
kellutek,1500.0,350.0,0.06
Krzysztof_Szpila,1500.0,350.0,0.06
LopSucks,1500.0,350.0,0.06
Lormd,1500.0,350.0,0.06
Maciuś,1500.0,350.0,0.06
Maggnan,1500.0,350.0,0.06
Malkie,1500.0,350.0,0.06
marines,1500.0,350.0,0.06
Marnypopis,1500.0,350.0,0.06
Michal Bl,1500.0,350.0,0.06
Patryk,1604.5,259.26,0.06
PL_Fox6,1500.0,350.0,0.06
Popkhorne,1500.0,350.0,0.06
Quamar,1500.0,350.0,0.06
Renegade_Jedi,1500.0,350.0,0.06
sebastian_krok,1500.0,350.0,0.06
seig,1500.0,350.0,0.06
Shomrey,1500.0,350.0,0.06
Silvaron,1500.0,350.0,0.06
SirMario0,1500.0,350.0,0.06
soskas_,1500.0,350.0,0.06
Strigoi,1500.0,350.0,0.06
Szymon,1500.0,350.0,0.06
Świnia,1397.27,221.41,0.06
Velthael (Gunnar),1500.0,350.0,0.06
#history
2025-04-17 21:15:41,Patryk,Świnia,16,4,80,45
